#,song_title,artist,page_title,views
188,Enganyar-te,La Ludwig Band,"Enganyar-te, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",211
189,El geògraf,Companyia El Petit Príncep,"El geògraf, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",211
190,Que li donarem a la pastoreta,La Pataqueta,"Que li donarem a la pastoreta, de l'àlbum ""La Pataqueta"" (La Pataqueta) - Viasona",210
191,"Sol, solet",Pep Puigdemont,"Sol, solet, de l'àlbum ""Puré de cançons"" (Pep Puigdemont) - Viasona",209
192,Dibuixa'm un xai,Companyia El Petit Príncep,"Dibuixa'm un xai, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",208
193,En Pinxo i en Panxo,Com sona?,"En Pinxo i en Panxo, de l'àlbum ""Kaixes"" (Com sona?) - Viasona",208
194,Ja dormiré,La Fúmiga,"Ja dormiré, de l'àlbum ""Tot està per fer"" (La Fúmiga) - Viasona",207
195,A la voreta del foc,Alosa,"A la voreta del foc, de l'àlbum ""A la voreta del foc"" (Alosa) - Viasona",206
196,Puta Espanya,Filibusters,"Puta Espanya, de l'àlbum ""Garrotades i gemecs"" (Filibusters) - Viasona",206
197,Plou i fa sol,Mainasons,"Plou i fa sol, de l'àlbum ""Canta i balla amb la Nia, la Mel i en Ton"" (Mainasons) - Viasona",204
198,"Companys, no és això",Lluís Llach,"Companys, no és això, de l'àlbum ""Lluís Llach"" (Lluís Llach) - Viasona",203
199,On t'has ficat aquesta nit?,La Ludwig Band,"On t'has ficat aquesta nit?, de l'àlbum ""On t'has ficat aquesta nit?"" (La Ludwig Band) - Viasona",203
200,Festuk,Markos,"Festuk, de l'àlbum ""Festuk"" (Markos) - Viasona",202
201,Llevantina (sardana),Emili Vendrell,"Llevantina (sardana), de l'àlbum ""L'inoblidable Emili Vendrell"" (Emili Vendrell) - Viasona",201
202,L'Eva i la Jana,Ginestà,"L'Eva i la Jana, de l'àlbum ""L'Eva i la Jana"" (Ginestà) - Viasona",200
203,Plou i fa sol,Sopa de Cabra,"Plou i fa sol, de l'àlbum ""Plou i fa sol"" (Sopa de Cabra) - Viasona",199
204,Acorar,"Pau Riba, Orchestra Fireluche","Acorar, de l'àlbum ""Segona florada"" (Pau Riba, Orchestra Fireluche) - Viasona",199
205,Un peixet en el fons de l'estany,Corrandes Animació,"Un peixet en el fons de l'estany, de l'àlbum ""Visca la festa!"" (Corrandes Animació) - Viasona",198
206,Qualsevol nit pot sortir el sol,Sabor de Gràcia,"Qualsevol nit pot sortir el sol, de l'àlbum ""La cançó amb rumba"" (Sabor de Gràcia) - Viasona",198
