#,song_title,artist,page_title,views,genre
148,He fet un ninot de neu,Anna Llopart i Xavi G. Cabré,"He fet un ninot de neu, de l'àlbum ""Un hivern de colors"" (Anna Llopart i Xavi G. Cabré) - Viasona",255,folk
149,El bevedor,Companyia El Petit Príncep,"El bevedor, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",253,cançó autor
150,"La lluna, la pruna",Club Súper 3,"La lluna, la pruna, de l'àlbum ""El cançoner del mic"" (Club Súper 3) - Viasona",251,folk
151,Manifassera,"Sandra Monfort, Ferrxn","Manifassera, de l'àlbum ""Manifassera"" (Sandra Monfort, Ferrxn) - Viasona",250,pop-rock
152,Els avantpassats,"La Trinca, Guillermina Motta","Els avantpassats, de l'àlbum ""Història de Catalunya amb cançons"" (La Trinca, Guillermina Motta) - Viasona",250,cançó autor
153,Cuando se detiene el tiempo,Titelles i Cançons Pamipipa,"Cuando se detiene el tiempo, de l'àlbum ""Nanit"" (Titelles i Cançons Pamipipa) - Viasona",248,folk
154,La cançó del mic,Club Súper 3,"La cançó del mic, de l'àlbum ""Mac, Mec, Mic!"" (Club Súper 3) - Viasona",245,folk
155,Marieta Cistellera,Alosa,"Marieta Cistellera, de l'àlbum ""El primer cant del matí"" (Alosa) - Viasona",245,folk
156,DIMONI ROMÀNTIC,Carles Caselles,"DIMONI ROMÀNTIC, de l'àlbum ""Primer Moviment"" (Carles Caselles) - Viasona",244,música urbana
157,El rei,Companyia El Petit Príncep,"El rei, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",244,cançó autor
158,La cançó del lladre,Josep Maria Espinàs,"La cançó del lladre, de l'àlbum ""Cançons tradicionals catalanes"" (Josep Maria Espinàs) - Viasona",240,folk
159,Cançó d’amor i de guerra,Salomé,"Cançó d’amor i de guerra, de l'àlbum ""Sardanes cantades"" (Salomé) - Viasona",239,folk
160,València en falles,Bajoqueta Rock,"València en falles, de l'àlbum ""València en falles"" (Bajoqueta Rock) - Viasona",236,pop-rock
161,Els tres tambors,Xesco Boix,"Els tres tambors, de l'àlbum ""La flor romanial"" (Xesco Boix) - Viasona",235,folk
162,El ball de Sant Ferriol,Xavi Lloses,"El ball de Sant Ferriol, de l'àlbum ""Cançonetes per la Bressola"" (Xavi Lloses) - Viasona",234,folk
163,El cant dels ocells,Núria Feliu,"El cant dels ocells, de l'àlbum ""El cant dels ocells"" (Núria Feliu) - Viasona",233,folk
164,Un matí de dissabte,"Pau Riba, Orchestra Fireluche","Un matí de dissabte, de l'àlbum ""Ataràxia"" (Pau Riba, Orchestra Fireluche) - Viasona",232,cançó autor
165,Un esquimal perdut en el desert,The Penguins,"Un esquimal perdut en el desert, de l'àlbum ""Ballant damunt la lluna"" (The Penguins) - Viasona",232,folk
166,Fa vint anys que tinc vint anys,Joan Manuel Serrat,"Fa vint anys que tinc vint anys, de l'àlbum ""Fa 20 anys que tinc 20 anys"" (Joan Manuel Serrat) - Viasona",230,cançó autor
167,Noia de porcellana,Pau Riba,"Noia de porcellana, de l'àlbum ""Dioptria I"" (Pau Riba) - Viasona",229,cançó autor
168,"Gallo rojo, gallo negro",Sílvia Pérez Cruz,"Gallo rojo, gallo negro, de l'àlbum ""Vestida de nit"" (Sílvia Pérez Cruz) - Viasona",228,cançó autor
169,Cançó de bres per a una princesa negra,Cucorba,"Cançó de bres per a una princesa negra, de l'àlbum ""Tornem-hi, torna-hi"" (Cucorba) - Viasona",228,folk
170,Baixant de la Font del Gat,Jordi Barre,"Baixant de la Font del Gat, de l'àlbum ""Tradicionals"" (Jordi Barre) - Viasona",226,folk
171,Una plata d'enciam,Toni Giménez,"Una plata d'enciam, de l'àlbum ""Cançons tradicionals infantils 2"" (Toni Giménez) - Viasona",226,folk
172,Si véns,Ja t'ho diré,"Si véns, de l'àlbum ""Es directe"" (Ja t'ho diré) - Viasona",226,pop-rock
173,Una dona llarga i prima,Ara va de bo,"Una dona llarga i prima, de l'àlbum ""Uni, dori"" (Ara va de bo) - Viasona",225,folk
174,Bon profit!,Ambauka,"Bon profit!, de l'àlbum ""De cap per avall"" (Ambauka) - Viasona",225,folk
175,Canción que me cura,"Judit Neddermann, Pau Figueres","Canción que me cura, de l'àlbum ""Judit Neddermann & Pau Figueres"" (Judit Neddermann, Pau Figueres) - Viasona",223,cançó autor
176,Nenes de ciutat,"Habla de mí en presente, Alosa","Nenes de ciutat, de l'àlbum ""Nenes de ciutat"" (Habla de mí en presente, Alosa) - Viasona",222,pop-rock
177,La Dama d'Aragó,La Cobleta de la Selva,"La Dama d'Aragó, de l'àlbum ""Cançons d'aquell temps"" (La Cobleta de la Selva) - Viasona",222,folk
178,"Tipi, tipi, tap",Toni Giménez,"Tipi, tipi, tap, de l'àlbum ""30 anys, 30 èxits"" (Toni Giménez) - Viasona",221,folk
179,Si arribeu,Lluís Llach,"Si arribeu, de l'àlbum ""Altres petjades"" (Lluís Llach) - Viasona",220,cançó autor
180,"Mort, qui t’ha mort?",Roger Mas,"Mort, qui t’ha mort?, de l'àlbum ""Totes les flors"" (Roger Mas) - Viasona",219,cançó autor
